GlimmerHMM
Sequence name: gi|23613028|ref|NC_004326.1|
Sequence length: 69930 bp

Predicted genes/exons

Gene Exon Strand  Exon            Exon Range      Exon
  19   21  +  Internal      30135      30187       53
  19   22  +  Terminal      30442      30486       45

  20    1  -  Terminal      30483      30503       21
  20    2  -  Initial       30573      30587       15

  21    1  +  Single        30600      30701      102

  22    1  -  Single        30707      30715        9

  23    1  +  Initial       30723      30768       46
  23    2  +  Internal      30950      30951        2
  23    3  +  Internal      31436      31516       81
  23    4  +  Internal      31862      31887       26
  23    5  +  Internal      31902      31915       14
  23    6  +  Internal      32005      32075       71
  23    7  +  Terminal      32357      32401       45

  24    1  -  Single        32408      32413        6

  25    1  -  Single        32450      32470       21

  26    1  +  Initial       32485      32526       42
  26    2  +  Internal      32809      32817        9
  26    3  +  Internal      33416      33470       55
  26    4  +  Terminal      33601      33956      356

  27    1  +  Initial       33967      34133      167
  27    2  +  Internal      34240      34252       13
  27    3  +  Internal      34368      34389       22
  27    4  +  Internal      34917      34929       13
  27    5  +  Internal      35211      35289       79
  27    6  +  Internal      35408      35416        9
  27    7  +  Internal      35421      35516       96
  27    8  +  Internal      35827      35964      138
  27    9  +  Internal      36797      36800        4
  27   10  +  Internal      36871      36886       16
  27   11  +  Internal      37250      37352      103
  27   12  +  Internal      38015      38087       73
  27   13  +  Internal      38193      38242       50
  27   14  +  Internal      38538      38540        3
  27   15  +  Internal      38865      38911       47
  27   16  +  Internal      38966      38992       27
  27   17  +  Internal      39553      39567       15
  27   18  +  Internal      39607      39728      122
  27   19  +  Internal      39785      39797       13
  27   20  +  Internal      40060      40090       31
  27   21  +  Internal      40686      40694        9
  27   22  +  Internal      41048      41114       67
  27   23  +  Terminal      41274      41317       44

  28    1  +  Initial       41321      41383       63
  28    2  +  Internal      41895      41924       30
  28    3  +  Internal      42145      42158       14
  28    4  +  Terminal      42273      42366       94

  29    1  +  Initial       42378      42407       30
  29    2  +  Terminal      43154      43186       33

  30    1  -  Single        43188      43208       21

  31    1  -  Terminal      43211      43217        7
  31    2  -  Initial       43239      43255       17

  32    1  -  Terminal      43260      43358       99
  32    2  -  Initial       43372      43650      279

  33    1  +  Initial       43659      43669       11
  33    2  +  Internal      43827      44543      717
  33    3  +  Internal      45352      45895      544
  33    4  +  Internal      47453      47470       18
  33    5  +  Internal      47477      47501       25
  33    6  +  Internal      47897      47903        7
  33    7  +  Internal      48413      48433       21
  33    8  +  Internal      48698      48711       14
  33    9  +  Internal      49405      49430       26
  33   10  +  Internal      49635      49678       44
  33   11  +  Internal      50184      50212       29
  33   12  +  Internal      50480      50504       25
  33   13  +  Internal      50871      50875        5
  33   14  +  Internal      51003      51079       77
  33   15  +  Internal      51396      51416       21
  33   16  +  Internal      51762      51808       47
  33   17  +  Internal      52597      52652       56
  33   18  +  Internal      52671      52672        2
  33   19  +  Internal      53093      53095        3
  33   20  +  Internal      53262      53308       47
  33   21  +  Internal      53469      53531       63
  33   22  +  Internal      55819      56055      237
  33   23  +  Internal      57050      57132       83
  33   24  +  Terminal      57138      57181       44

  34    1  +  Single        57193      57207       15

  35    1  +  Single        57208      57216        9

  36    1  +  Initial       57240      57338       99
  36    2  +  Internal      57510      57543       34
  36    3  +  Internal      57950      58055      106
  36    4  +  Terminal      58384      58390        7

  37    1  +  Initial       58406      58463       58
  37    2  +  Internal      58550      58656      107
  37    3  +  Internal      59051      59123       73
  37    4  +  Internal      59168      59226       59
  37    5  +  Internal      59407      59451       45
  37    6  +  Internal      59627      59649       23
  37    7  +  Internal      59680      59705       26
  37    8  +  Internal      59968      59977       10
  37    9  +  Internal      60747      60750        4
  37   10  +  Internal      60942      60947        6
  37   11  +  Internal      61442      61464       23
  37   12  +  Internal      61991      62137      147
  37   13  +  Internal      62413      62425       13
  37   14  +  Internal      62508      62522       15
  37   15  +  Terminal      62830      62838        9

  38    1  +  Initial       62839      62850       12
  38    2  +  Internal      63403      63410        8
  38    3  +  Internal      63916      63931       16
  38    4  +  Terminal      63992      64009       18

  39    1  -  Single        64040      64066       27

  40    1  +  Single        64123      64137       15

  41    1  +  Initial       64145      64179       35
  41    2  +  Internal      64194      64266       73
  41    3  +  Internal      64332      65390     1059
  41    4  +  Internal      65945      65955       11
  41    5  +  Internal      66065      66070        6
  41    6  +  Internal      66469      66485       17
  41    7  +  Terminal      66697      66704        8

  42    1  +  Initial       66704      66716       13
  42    2  +  Internal      66964      67005       42
  42    3  +  Internal      68146      68190       45
  42    4  +  Internal      68458      68600      143
  42    5  +  Terminal      68895      68924       30

  43    1  +  Initial       68930      69670      741
  43    2  +  Terminal      69839      69868       30

  44    1  -  Terminal      69866      69929       64
